,Ticker,Beta
61,TSLA,2.07
68,AMD,1.95
48,NVDA,1.76
96,MRNA,1.7
14,AMAT,1.61
69,ALGN,1.6
38,MAR,1.59
95,MELI,1.59
41,MCHP,1.57
49,NXPI,1.53
94,MTCH,1.51
15,ADSK,1.51
37,LRCX,1.49
93,MRVL,1.47
42,MU,1.39
80,KLAC,1.38
26,EBAY,1.36
92,LULU,1.35
74,CTAS,1.33
53,PYPL,1.31
65,BKNG,1.31
54,QCOM,1.3
2,AAPL,1.3
58,SWKS,1.29
100,SPLK,1.29
33,ISRG,1.29
8,ADBE,1.27
47,NFLX,1.26
101,WDAY,1.26
11,AMZN,1.25
71,ANSS,1.24
83,ASMLF,1.24
84,ASML,1.24
24,CSX,1.22
77,CPRT,1.21
109,LCID,1.19
108,META,1.18
81,SNPS,1.18
79,IDXX,1.18
28,FAST,1.17
106,PANW,1.16
104,ABNB,1.16
32,INTU,1.16
31,ILMN,1.15
13,ADI,1.14
78,FTNT,1.14
20,CHTR,1.12
72,AVGO,1.12
97,OKTA,1.12
21,CTSH,1.11
67,HON,1.11
9,GOOGL,1.09
10,GOOG,1.09
85,DXCM,1.09
86,ODFL,1.08
39,0P0000KQL0,1.08
40,0P0001I1JH,1.08
73,CDNS,1.07
103,CRWD,1.02
62,TXN,1.02
90,DOCU,1.0
22,CMCSA,1.0
56,ROST,0.99
82,VRSN,0.99
105,DDOG,0.99
3,CSCO,0.98
52,PAYX,0.98
57,SIRI,0.97
59,SBUX,0.94
51,PCAR,0.94
5,MSFT,0.92
107,ZS,0.88
50,ORLY,0.88
44,MNST,0.87
29,FISV,0.86
27,EA,0.85
63,VRSK,0.84
89,TEAM,0.83
16,ADP,0.82
4,INTC,0.81
23,COST,0.79
98,PDD,0.76
6,WBA,0.72
36,KHC,0.7
17,BIDU,0.68
18,BAIDF,0.68
25,DLTR,0.68
43,MDLZ,0.66
12,AMGN,0.65
66,EXC,0.59
91,KDP,0.58
60,TMUS,0.56
87,PEP,0.54
99,SGEN,0.53
46,NETTF,0.49
45,NTES,0.49
64,VRTX,0.48
35,JDCMF,0.48
34,JD,0.48
70,AEP,0.44
7,ATVI,0.42
88,XEL,0.42
30,GILD,0.4
55,REGN,0.21
19,BIIB,0.19
1,AZNCF,0.17
0,AZN,0.17
102,ZM,-0.22
75,STZ,
76,CEG,
