,Ticker,Beta
0,APA,3.51
1,CZR,2.88
2,NCLH,2.51
3,RCL,2.49
4,MRO,2.41
5,DVN,2.39
6,TRGP,2.28
7,HAL,2.14
8,TSLA,2.11
9,MGM,2.07
10,APTV,2.04
11,FANG,2.02
12,WYNN,2.01
13,FCX,2.0
14,AMD,1.95
15,DXCM,1.12
16,URI,1.87
17,ETSY,1.86
18,PANW,1.16
19,OXY,1.8
20,SLB,1.8
21,NVDA,1.79
22,KVUE,0.00
23,BBWI,1.76
24,ON,1.76
25,PARA,1.65
26,WDC,1.65
27,MRNA,1.64
28,HCA,1.63
29,SYF,1.63
30,VLO,1.63
31,OKE,1.62
32,EXPE,1.61
33,AMAT,1.61
34,ZBRA,1.61
35,NUE,1.6
36,STT,1.6
37,MPC,1.6
38,ALGN,1.6
39,C,1.59
40,TRMB,1.59
41,MCHP,1.59
42,MAR,1.59
43,ALB,1.58
44,MOS,1.56
45,HES,1.56
46,EPAM,1.56
47,AAL,1.55
48,PH,1.55
49,ALK,1.54
50,TER,1.54
51,SPG,1.54
52,DHI,1.53
53,BBY,1.53
54,STLD,1.53
55,EOG,1.52
56,F,1.52
57,ADSK,1.51
58,NXPI,1.51
59,WBD,1.51
60,WHR,1.5
61,COF,1.49
62,AMP,1.49
63,EMN,1.48
64,WY,1.48
65,LRCX,1.47
66,WAB,1.47
67,TXT,1.47
68,ROK,1.46
69,KMX,1.46
70,BKR,1.45
71,DFS,1.45
72,KIM,1.45
73,IR,1.45
74,EFX,1.45
75,CDAY,1.45
76,MTCH,1.45
77,UAL,1.44
78,BA,1.44
79,PXD,1.42
80,TPR,1.42
81,QRVO,1.42
82,LEN,1.42
83,BAC,1.41
84,BWA,1.41
85,PRU,1.41
86,GS,1.41
87,RL,1.4
88,IQV,1.39
89,PSX,1.39
90,TDG,1.39
91,GM,1.38
92,CBRE,1.38
93,LKQ,1.37
94,EMR,1.37
95,FSLR,1.36
96,CRL,1.36
97,KLAC,1.36
98,IVZ,1.36
99,DOV,1.35
100,HWM,1.35
101,MU,1.34
102,PAYC,1.34
103,MS,1.34
104,ENPH,1.34
105,CFG,1.34
106,FDX,1.34
107,PHM,1.34
108,EBAY,1.33
109,DOW,1.33
110,ULTA,1.32
111,IT,1.32
112,HST,1.32
113,CTAS,1.32
114,SEDG,1.32
115,BKNG,1.31
116,TEL,1.31
117,PFG,1.31
118,RHI,1.31
119,SWK,1.31
120,BEN,1.31
121,COP,1.31
122,CMG,1.3
123,AAPL,1.3
124,CE,1.3
125,PYPL,1.3
126,NWS,1.3
127,TROW,1.3
128,NSC,1.3
129,DIS,1.3
130,BLK,1.3
131,NWSA,1.3
132,KEY,1.29
133,LYV,1.29
134,QCOM,1.29
135,ISRG,1.28
136,MHK,1.28
137,ADBE,1.27
138,FICO,1.27
139,MCO,1.26
140,CTLT,1.26
141,NFLX,1.26
142,DAL,1.26
143,AOS,1.26
144,AMZN,1.25
145,APH,1.25
146,DD,1.25
147,SWKS,1.25
148,HLT,1.25
149,SEE,1.25
150,JCI,1.24
151,ACN,1.24
152,ANSS,1.24
153,UHS,1.24
154,ANET,1.24
155,VTR,1.23
156,FITB,1.23
157,LYB,1.23
